id,name,suggested_qty,suggested_note,suggested_by,suggested_at
317,Salmon filets,,"green|Stock ok - 63 pezzi in casa|Stock ok - 63 pezzi on hand|Stock ok - 63 piezas en casa",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
256,Salmoriglio,450,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 450g|Check before prepping - uncertain data - may need 450g|Revisa antes de preparar - datos inciertos - puede necesitar 450g",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
257,Scallops,1.5,,bot-preplist-builder-v5,2026-06-23 09:00:07.795+00
279,Scallops,95,"red|Prepara oggi - 95 pezzi - hai 0|Prep today - 95 pieces - you have 0|Prepara hoy - 95 piezas - tienes 0",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
419,Season Focaccia,,"green|Chiuso oggi - stock ok per domani|Closed today - stock ok for tomorrow|Cerrado hoy - stock ok para manana",bot-preplist-builder-v41,2026-07-05 09:00:05.597+00
365,Seed mix,5800,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 58 x 5#|Check before prepping - uncertain data - may need 58 x 5#|Revisa antes de preparar - datos inciertos - puede necesitar 58 x 5#",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
371,Shaved Parm,4469,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 4.5kg|Check before prepping - uncertain data - may need 4.5kg|Revisa antes de preparar - datos inciertos - puede necesitar 4.5kg",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
366,Shredded Carrots,,"green|Hai 2kg in casa - arrivi a Giovedi|You have 2kg - good through Thursday|Tienes 2kg en casa - llegas al Jueves",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
470,Shrimp,,"green|Hai 3652kg in casa - arrivi a Venerdi|You have 3652kg - good through Friday|Tienes 3652kg en casa - llegas al Viernes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
410,Shrimp for cocktail,1,Sab 1.0,bot-preplist-builder-v17,2026-06-27 21:00:11.156+00
281,Sicilian mix,,"green|Stock ok - 500g in casa|Stock ok - 500g on hand|Stock ok - 500g en casa",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
282,Siciliana cartoccio,15,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 15 pz|Check before prepping - uncertain data - may need 15 pieces|Revisa antes de preparar - datos inciertos - puede necesitar 15 piezas",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
367,Sliced Mozzarella,1718,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 1.7kg|Check before prepping - uncertain data - may need 1.7kg|Revisa antes de preparar - datos inciertos - puede necesitar 1.7kg",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
368,Sliced Tomatoes,1932,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 1.9kg|Check before prepping - uncertain data - may need 1.9kg|Revisa antes de preparar - datos inciertos - puede necesitar 1.9kg",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
397,Soffritto Livornese,,"green|Hai 866g in casa - arrivi a Venerdi|You have 866g - good through Friday|Tienes 866g en casa - llegas al Viernes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
314,Spaghetti,14,,bot-preplist-builder-v5,2026-06-25 09:00:03.745+00
475,Spaghetti fresh pasta,,"green|Hai 3.5kg in casa - arrivi a Giovedi|You have 3.5kg - good through Thursday|Tienes 3.5kg en casa - llegas al Jueves",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
318,Spinach,80,"red|Prepara oggi - fai 80 batch (80 cup) - hai 0 cup|Prep today - make 80 batches (80 cups) - you have 0 cups|Prepara hoy - haz 80 batch (80 tazas) - tienes 0 tazas",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
370,Spring mix,,"green|Hai 3767 buste in casa - arrivi a Venerdi|You have 3767 bags - good through Friday|Tienes 3767 bolsas en casa - llegas al Viernes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
467,Tempura,1,Mar 1.0,bot-preplist-builder-v17,2026-06-27 21:00:11.156+00
424,Texana Soup,,"green|Hai 7.6kg in casa - arrivi a Martedi|You have 7.6kg - good through Tuesday|Tienes 7.6kg en casa - llegas al Martes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
414,Thaw Branzino,1,Mar 1.0,bot-preplist-builder-v17,2026-06-28 09:00:05.753+00
296,Thaw Lobster,,"green|Stock ok - 18 pezzi in casa|Stock ok - 18 pezzi on hand|Stock ok - 18 piezas en casa",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
413,Thaw Salmon,5,"yellow|Controlla prima di produrre - dati incerti - potrebbe servire 5 pezzi|Check before prepping - uncertain data - may need 5 pieces|Revisa antes de preparar - datos inciertos - puede necesitar 5 piezas",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
308,Thaw Shrimp,1,Sab 1.0porzioni,bot-preplist-builder-v17,2026-06-27 21:00:11.156+00
469,Thyme Butter,,"green|Hai 968g in casa - arrivi a Giovedi|You have 968g - good through Thursday|Tienes 968g en casa - llegas al Jueves",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
383,Tiramisu,,"green|Hai 16 pezzi in casa - arrivi a Mercoledi|You have 16 pieces - good through Wednesday|Tienes 16 piezas en casa - llegas al Miercoles",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
319,Tomahawk,,"green|Hai 7 pezzi in casa - arrivi a Giovedi|You have 7 pieces - good through Thursday|Tienes 7 piezas en casa - llegas al Jueves",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
309,Truffle butter,,"green|Hai 960g in casa - arrivi a Mercoledi|You have 960g - good through Wednesday|Tienes 960g en casa - llegas al Miercoles",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
320,Wagyu ribeye,,"green|Hai 7 pezzi in casa - arrivi a Giovedi|You have 7 pieces - good through Thursday|Tienes 7 piezas en casa - llegas al Jueves",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
478,Wagyu Ribeye,3,"yellow|Chiuso oggi - controlla stock domani - possibile 3 pieces|Closed today - check stock tomorrow - possible need 3 pieces|Cerrado hoy - revisar stock manana - posible necesitar 3 piezas",bot-preplist-builder-v46,2026-07-12 09:00:01.01+00
477,Wagyu Tomahawk,4,"yellow|Chiuso oggi - controlla stock domani - possibile 4 pieces|Closed today - check stock tomorrow - possible need 4 pieces|Cerrado hoy - revisar stock manana - posible necesitar 4 piezas",bot-preplist-builder-v46,2026-07-12 09:00:01.01+00
372,walnuts,,"green|Chiuso oggi - stock ok per domani|Closed today - stock ok for tomorrow|Cerrado hoy - stock ok para manana",bot-preplist-builder-v46,2026-07-12 09:00:01.01+00
443,Watermelon Cubes,,"green|Hai 6kg in casa - arrivi a Venerdi|You have 6kg - good through Friday|Tienes 6kg en casa - llegas al Viernes",bot-preplist-builder-v47,2026-07-20 09:00:03.755+00
479,Meatball Sauce,,,, 
481,Meatball Appetizer Bags,,,,
